nn	last	min	avg	max
zw01-data-hdp-nn01	0.000	0.000	7.442	817.000
zw01-data-hdp-nn02	0.000	0.000	0.000	0.000
zw01-data-hdp-nn03	0.000	0.000	97.891	5.778K
zw01-data-hdp-nn04	0.000	0.000	0.000	0.000
zw01-data-hdp-nn05	0.000	0.000	114.256	9.274K
zw01-data-hdp-nn06	0.000	0.000	0.000	0.000
zw01-data-hdp-nn07	0.000	0.000	0.000	0.000
zw01-data-hdp-nn08	167.000	0.000	202.304	8.896K
zw01-data-hdp-nn09	97.000	0.000	38.216	2.302K
zw01-data-hdp-nn10	0.000	0.000	0.000	0.000
zw01-data-hdp-nn11	0.000	0.000	0.000	0.000
zw01-data-hdp-nn12	0.000	0.000	136.033	6.186K
zw01-data-hdp-nn13	0.000	0.000	0.000	0.000
zw01-data-hdp-nn14	0.000	0.000	3.212	812.000
zw02-data-hdp-nn01	0.000	0.000	294.644	13.666K
zw02-data-hdp-nn02	0.000	0.000	0.000	0.000
zw02-data-hdp-nn03	824.000	0.000	660.705	31.629K
zw02-data-hdp-nn04	0.000	0.000	0.072	103.000
zw02-data-hdp-nn05	2.755K	0.000	569.267	33K
zw02-data-hdp-nn06	0.000	0.000	0.000	0.000
zw02-data-hdp-nn07	0.000	0.000	0.000	0.000
zw02-data-hdp-nn08	0.000	0.000	113.343	4.602K
zw02-data-hdp-nn09	0.000	0.000	282.809	11.927K
zw02-data-hdp-nn10	0.000	0.000	0.152	144.000
zw02-data-hdp-nn11	0.000	0.000	0.000	0.000
zw02-data-hdp-nn12	0.000	0.000	358.238	9.154K
zw02-data-hdp-nn13	0.000	0.000	0.000	0.000
zw02-data-hdp-nn14	2.248K	0.000	205.489	16.745K
zw02-data-hdp-nn15	0.000	0.000	0.000	0.000
zw02-data-hdp-nn16	181.000	0.000	208.978	8.749K
zw02-data-hdp-nn17	0.000	0.000	0.000	0.000
zw02-data-hdp-nn18	2.217K	0.000	1.297K	16.578K
zw02-data-hdp-nn19	0.000	0.000	0.000	0.000
zw02-data-hdp-nn20	0.000	0.000	308.007	15.032K
zw02-data-hdp-nn21	0.000	0.000	0.000	0.000
zw02-data-hdp-nn22	113.000	0.000	27.008	772.000
zw02-data-hdp-nn23	133.000	0.000	354.312	13.045K
zw02-data-hdp-nn24	0.000	0.000	0.607	294.000
zw02-data-hdp-nn25	0.000	0.000	0.001	1.000
zw02-data-hdp-nn26	264.000	0.000	2.537K	28.684K
zw02-data-hdp-nn27	0.000	0.000	30.327	1.561K
zw02-data-hdp-nn28	0.000	0.000	0.000	0.000
zw02-data-hdp-nn29	0.000	0.000	329.177	9.556K
zw02-data-hdp-nn30	0.000	0.000	0.000	0.000
zw02-data-hdp-nn31	0.000	0.000	72.782	8.235K
zw02-data-hdp-nn32	0.000	0.000	0.000	0.000
zw02-data-hdp-nn33	0.000	0.000	1.066K	19.044K
zw02-data-hdp-nn34	0.000	0.000	0.001	1.000
zw02-data-hdp-nn35	0.000	0.000	0.000	0.000
zw02-data-hdp-nn36	322.000	0.000	463.379	6.16K
zw02-data-hdp-nn37	0.000	0.000	184.341	5.481K
zw02-data-hdp-nn38	0.000	0.000	0.000	0.000
zw02-data-hdp-nn39	0.000	0.000	161.067	5.795K
zw02-data-hdp-nn40	0.000	0.000	0.000	0.000
zw02-data-hdp-nn41	245.000	0.000	429.555	14.183K
zw02-data-hdp-nn42	0.000	0.000	0.000	0.000
zw02-data-hdp-nn43	0.000	0.000	0.000	0.000
zw02-data-hdp-nn44	1.444K	0.000	205.482	6.034K
zw02-data-hdp-nn45	0.000	0.000	225.376	8.349K
zw02-data-hdp-nn46	0.000	0.000	0.000	0.000
zw02-data-hdp-nn47	129.000	0.000	774.756	23.989K
zw02-data-hdp-nn48	0.000	0.000	0.000	0.000
zw02-data-hdp-nn49	0.000	0.000	186.108	9.387K
zw02-data-hdp-nn50	0.000	0.000	0.000	0.000
zw02-data-hdp-nn51	0.000	0.000	0.000	0.000
zw02-data-hdp-nn52	0.000	0.000	0.000	0.000
zw02-data-hdp-nn53	0.000	0.000	0.000	0.000
zw02-data-hdp-nn54	0.000	0.000	0.001	1.000
zw02-data-hdp-nn55	0.000	0.000	0.000	0.000
zw02-data-hdp-nn56	0.000	0.000	0.000	0.000
