nn last	min	avg	max
zw01-data-hdp-nn01	5.950	0.000	9.963	239.800
zw01-data-hdp-nn02	0.000	0.000	0.000	0.000
zw01-data-hdp-nn03	111.100	0.000	90.745	1.117K
zw01-data-hdp-nn04	0.000	0.000	0.000	0.050
zw01-data-hdp-nn05	14.900	0.000	78.400	819.800
zw01-data-hdp-nn06	0.000	0.000	0.000	0.000
zw01-data-hdp-nn07	0.000	0.000	0.000	0.000
zw01-data-hdp-nn08	1.000	0.000	253.285	3.618K
zw01-data-hdp-nn09	63.350	0.000	38.852	603.150
zw01-data-hdp-nn10	0.000	0.000	0.000	0.000
zw01-data-hdp-nn11	0.000	0.000	0.000	0.000
zw01-data-hdp-nn12	36.250	0.000	168.540	3.876K
zw01-data-hdp-nn13	0.000	0.000	0.000	0.000
zw01-data-hdp-nn14	0.000	0.000	3.120	67.150
zw02-data-hdp-nn01	545.000	0.000	336.720	5.753K
zw02-data-hdp-nn02	0.000	0.000	0.000	0.000
zw02-data-hdp-nn03	610.000	9.000	754.994	9.608K
zw02-data-hdp-nn04	0.000	0.000	0.114	8.100
zw02-data-hdp-nn05	0.000	0.000	613.113	5.271K
zw02-data-hdp-nn06	0.000	0.000	0.000	0.000
zw02-data-hdp-nn07	0.000	0.000	0.000	0.000
zw02-data-hdp-nn08	0.000	0.000	129.874	1.455K
zw02-data-hdp-nn09	163.000	0.000	342.177	11.152K
zw02-data-hdp-nn10	0.000	0.000	0.105	7.200
zw02-data-hdp-nn11	0.000	0.000	0.000	0.000
zw02-data-hdp-nn12	1.000	0.000	363.680	2.611K
zw02-data-hdp-nn13	0.000	0.000	0.000	0.000
zw02-data-hdp-nn14	0.000	0.000	245.556	2.822K
zw02-data-hdp-nn15	0.000	0.000	0.000	0.000
zw02-data-hdp-nn16	1.277K	0.000	186.905	4.799K
zw02-data-hdp-nn17	0.000	0.000	0.000	0.000
zw02-data-hdp-nn18	598.950	0.000	1.423K	6.073K
zw02-data-hdp-nn19	0.000	0.000	0.000	0.000
zw02-data-hdp-nn20	0.000	0.000	338.334	6.939K
zw02-data-hdp-nn21	0.000	0.000	0.068	19.200
zw02-data-hdp-nn22	233.000	0.000	6.400	555.150
zw02-data-hdp-nn23	0.000	0.000	348.592	3.854K
zw02-data-hdp-nn24	0.000	0.000	0.538	20.600
zw02-data-hdp-nn25	0.000	0.000	0.000	0.050
zw02-data-hdp-nn26	4.357K	0.000	1.839K	14.318K
zw02-data-hdp-nn27	0.000	0.000	36.454	857.700
zw02-data-hdp-nn28	0.000	0.000	0.000	0.050
zw02-data-hdp-nn29	163.150	0.000	321.929	2.478K
zw02-data-hdp-nn30	0.000	0.000	0.000	0.000
zw02-data-hdp-nn31	27.750	0.000	85.041	689.700
zw02-data-hdp-nn32	0.000	0.000	0.000	0.000
zw02-data-hdp-nn33	202.050	0.000	888.502	8.577K
zw02-data-hdp-nn34	0.000	0.000	0.000	0.050
zw02-data-hdp-nn35	0.000	0.000	0.000	0.050
zw02-data-hdp-nn36	147.300	0.000	453.411	3.137K
zw02-data-hdp-nn37	3.500	0.000	239.466	2.045K
zw02-data-hdp-nn38	0.000	0.000	0.000	0.000
zw02-data-hdp-nn39	0.000	0.000	159.882	2.88K
zw02-data-hdp-nn40	0.000	0.000	0.000	0.000
zw02-data-hdp-nn41	226.300	0.000	486.425	7.239K
zw02-data-hdp-nn42	0.000	0.000	0.000	0.000
zw02-data-hdp-nn43	0.000	0.000	0.000	0.000
zw02-data-hdp-nn44	56.400	0.000	281.107	5.612K
zw02-data-hdp-nn45	0.000	0.000	183.987	3.352K
zw02-data-hdp-nn46	0.000	0.000	0.000	0.000
zw02-data-hdp-nn47	0.000	0.000	894.177	6.142K
zw02-data-hdp-nn48	0.000	0.000	0.000	0.000
zw02-data-hdp-nn49	29.000	0.000	155.042	1.361K
zw02-data-hdp-nn50	0.000	0.000	0.000	0.000
zw02-data-hdp-nn51	0.000	0.000	0.000	0.050
zw02-data-hdp-nn52	0.000	0.000	0.000	0.050
zw02-data-hdp-nn53	0.000	0.000	0.000	0.000
zw02-data-hdp-nn54	0.000	0.000	0.000	0.050
zw02-data-hdp-nn55	0.000	0.000	1.772	76.850
zw02-data-hdp-nn56	0.000	0.000	0.000	0.000
